date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-12-01 00:00:00,16.2,11.1,23.1,,,,0.3,,1016.1,
2025-12-02 00:00:00,16.2,11.2,23.2,,,,0.4,,1016,
2025-12-03 00:00:00,15,10.7,21.5,,,,0.5,,1018.5,
2025-12-04 00:00:00,14.4,9.5,20.9,,,,0.3,,1019.6,
2025-12-05 00:00:00,14.8,9.7,21.5,,,,0.2,,1021.1,
2025-12-06 00:00:00,15.3,9.6,22.5,,,,1.2,,1020.5,
2025-12-07 00:00:00,15.8,10.2,23.3,,,,0.5,,1019.4,
2025-12-08 00:00:00,16.4,10.4,24,,,,1.2,,1019.6,
2025-12-09 00:00:00,16.1,10.5,23.3,,,,0.4,,1018.6,
2025-12-10 00:00:00,16,10.6,23.3,,,,0.1,,1018,
2025-12-11 00:00:00,15.9,10.6,22.9,,,,0.1,,1017.2,
2025-12-12 00:00:00,15.9,10.9,22.1,,,,0,,1016.1,
2025-12-13 00:00:00,15.7,12,20.4,,,,0,,1017.1,
2025-12-14 00:00:00,15.7,11.8,21,,,,0,,1018.7,
2025-12-15 00:00:00,16,12,21.1,,,,0.5,,1018.5,
2025-12-16 00:00:00,16.2,12.1,22,,,,1,,1017.6,
2025-12-17 00:00:00,16.4,11.8,22,,,,0.4,,1017.7,
2025-12-18 00:00:00,16.5,12.3,22,,,,0,,1018.8,
2025-12-19 00:00:00,15.8,11.8,20.9,,,,0,,1016.6,
2025-12-20 00:00:00,15.3,11.8,19.3,,,,0.2,,1014.6,
2025-12-21 00:00:00,15,12.5,18.3,,,,0.6,,1016.9,
2025-12-22 00:00:00,14.7,12.9,17.1,,,,0.5,,1017.9,
2025-12-23 00:00:00,15,11.7,19.1,,,,1.9,,1017,
2025-12-24 00:00:00,15.1,10.6,21.4,,,,0.9,,1015.8,
2025-12-25 00:00:00,14.6,9.7,21.3,,,,0.1,,1016.4,
2025-12-26 00:00:00,14.9,10.7,21.4,,,,0.2,,1017.3,
2025-12-27 00:00:00,14.6,10.2,20.4,,,,0.3,,1017.3,
2025-12-28 00:00:00,14.3,9.9,19.9,,,,0,,1017.9,
2025-12-29 00:00:00,13.9,10.1,19,,,,0.2,,1017.8,
2025-12-30 00:00:00,14,10.6,18.9,,,,0.2,,1015,
2025-12-31 00:00:00,13.3,10.4,16.9,,,,0.4,,1012.4,
